pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
119.0116,-94.286,180.0,bottom,D1,SS36,,D_DO-214AB_SMC,3A/60V/750mV,tht
116.9016,-87.555,180.0,bottom,D2,SS14,,D_DO-214AC_SMA,1A/40V/500mV,smt
125.4,-104.827,180.0,bottom,D3,SMBJ36A,,D_DO-214AA_SMB,40V,tht
107.0,-94.202,180.0,bottom,F1,MF-MSMF075/33X-2,,Fuse_1812,33V/750mA/1.5A,smt
138.0,-101.75,0.0,bottom,J1,A-2014-2-4-N-T-R,,RJ45_A-2014-2-4-N-T-R,RJ45,tht
136.0,-82.29,180.0,top,J2,,,PIN_HEADERS_1X07,PINHD-1X7,tht
140.005,-120.321,0.0,top,J3,,,PIN_HEADERS_1X12,PINHD-1X12,tht
117.907,-82.29,0.0,top,J4,,,PIN_HEADERS_1X04,PINHD-1X4,tht
119.0,-104.25,180.0,bottom,P1,PJ-064A,,PWR_JACK_PJ-064A,24V / 5A,tht
153.721,-104.192,180.0,bottom,Q1,BSS138,,SOT-23-3,220mA / 50V,tht
152.578,-98.477,-90.0,bottom,Q2,BSS138,,SOT-23-3,220mA / 50V,tht
152.197,-88.698,-90.0,bottom,Q3,BSS138,,SOT-23-3,220mA / 50V,tht
158.166,-83.237,90.0,bottom,Q4,BSS138,,SOT-23-3,220mA / 50V,tht
114.7422,-117.509679,0.0,bottom,R1,,,R_1206,150kΩ,smt
156.896,-98.477,90.0,bottom,R10,,,R_1206,10kΩ,smt
150.292,-83.237,90.0,bottom,R11,,,R_1206,10kΩ,smt
156.134,-88.698,90.0,bottom,R12,,,R_1206,10kΩ,smt
153.848,-83.237,90.0,bottom,R13,,,R_1206,10kΩ,smt
159.563,-88.698,90.0,bottom,R14,,,R_1206,10kΩ,smt
119.952591,-117.5,0.0,bottom,R2,,,R_1206,10kΩ,smt
114.732,-120.956,0.0,bottom,R3,,,R_1206,100kΩ,smt
119.939,-120.956,0.0,bottom,R4,,,R_1206,1kΩ,smt
148.514,-109.653,-90.0,bottom,R5,,,R_1206,10kΩ,smt
154.5,-109.653,90.0,bottom,R6,,,R_1206,150Ω,smt
148.514,-103.938,-90.0,bottom,R8,,,R_1206,1kΩ,smt
148.514,-98.477,-90.0,bottom,R9,,,R_1206,10kΩ,smt
102.4139,-107.065,90.0,bottom,U1,R-78E5.0-1.0,,DC_DC_converter_R-78E5.0-1.0,8-28V in / 5V 5W out,tht
162.904,-115.625,90.0,top,U2,PHN2MEA / BRN404,,PHOTON2,Particle2 / Boron,tht
